10^2,10^3,10^4,10^5,10^6,10^7
3000,29000,248000,2949000,35718000,248967000
3000,26000,246000,2548000,30709000,254540000
3000,26000,250000,3095000,32395000,240219000
3000,29000,255000,2541000,27586000,248654000
4000,27000,305000,2675000,26329000,243111000
3000,26000,251000,3080000,27246000,275697000
3000,29000,250000,2494000,25032000,247641000
3000,30000,247000,3333000,43847000,287006000
4000,24000,238000,3582000,42722000,250031000
3000,24000,472000,2540000,29286000,270029000
3000,25000,425000,2544000,24162000,250621000
4000,25000,655000,3186000,25246000,285015000
4000,25000,243000,2555000,25343000,279389000
4000,27000,269000,2993000,25136000,259418000
3000,26000,246000,4073000,26081000,259716000
2000,24000,301000,3482000,27382000,295536000
3000,27000,264000,3322000,24422000,359034000
3000,26000,261000,3025000,26380000,266798000
3000,25000,263000,4431000,25203000,262762000
3000,32000,250000,3279000,26686000,275863000
3000,26000,272000,3001000,23393000,275226000
3000,28000,255000,2873000,24714000,245301000
3000,28000,256000,2647000,26084000,262604000
2000,27000,249000,2698000,25005000,278507000
3000,28000,257000,2766000,24963000,274286000
3000,25000,241000,5931000,40026000,277455000
4000,26000,248000,3651000,24744000,298527000
4000,26000,260000,4095000,24413000,272565000
3000,27000,256000,3196000,25377000,273292000
3000,26000,261000,3195000,25771000,328274000
3000,26000,256000,3515000,25270000,325718000
3000,26000,657000,3632000,24979000,312932000
2000,25000,450000,3845000,26511000,320963000
3000,27000,600000,2972000,26771000,303033000
3000,24000,249000,2660000,41147000,283157000
2000,24000,315000,2633000,26268000,286105000
3000,27000,256000,2828000,26264000,303068000
3000,28000,286000,3327000,28475000,304739000
2000,28000,307000,3045000,27460000,273197000
3000,29000,318000,2788000,25177000,312433000
3000,26000,478000,3750000,24123000,320482000
3000,28000,316000,2668000,26528000,282175000
3000,24000,282000,3158000,27526000,264669000
3000,25000,302000,3273000,25907000,255743000
3000,25000,288000,2732000,24729000,325119000
3000,25000,290000,2717000,25141000,254002000
3000,25000,265000,3344000,24656000,254634000
3000,27000,329000,2926000,23800000,259797000
2000,26000,292000,2839000,24308000,251885000
3000,26000,429000,3348000,23480000,257553000
